Lieu	N° région, département	Série	Unité	2004	2008
AIN	01	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AIN	01	RA08Etablissements de recherche (hors CEA)	nombre	3.0	3.0
AIN	01	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
AIN	01	RA08Centres nucléaires de production d'électricité	nombre	2.0	3.0
AIN	01	RA08Activités médicales	nombre	1.0	1.0
AIN	01	RA08Etablissements de la défense nationale	nombre	1.0	1.0
AIN	01	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
AIN	01	RA08Amont du cycle du combustible	nombre	0.0	0.0
AIN	01	RA08Aval du cycle du combustible	nombre	0.0	0.0
AIN	01	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
AIN	01	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
AIN	01	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
AIN	01	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	7.0	8.0
AISNE	02	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AISNE	02	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
AISNE	02	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
AISNE	02	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
AISNE	02	RA08Activités médicales	nombre	2.0	2.0
AISNE	02	RA08Etablissements de la défense nationale	nombre	1.0	1.0
AISNE	02	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
AISNE	02	RA08Amont du cycle du combustible	nombre	0.0	0.0
AISNE	02	RA08Aval du cycle du combustible	nombre	0.0	0.0
AISNE	02	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
AISNE	02	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
AISNE	02	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
AISNE	02	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	3.0	3.0
ALLIER	03	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
ALLIER	03	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
ALLIER	03	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
ALLIER	03	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
ALLIER	03	RA08Activités médicales	nombre	1.0	1.0
ALLIER	03	RA08Etablissements de la défense nationale	nombre	2.0	1.0
ALLIER	03	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
ALLIER	03	RA08Amont du cycle du combustible	nombre	0.0	0.0
ALLIER	03	RA08Aval du cycle du combustible	nombre	0.0	0.0
ALLIER	03	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ALLIER	03	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
ALLIER	03	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
ALLIER	03	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	3.0	2.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Etablissements de recherche (hors CEA)	nombre	0.0	1.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	1.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Activités médicales	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Etablissements de la défense nationale	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Amont du cycle du combustible	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Aval du cycle du combustible	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
