Lieu	N° région, département	Série	Unité	1999	2006
AIN	01	RI03Surface totale du territoire	 ha	577503.0	577503.0
AIN	01	RI03 Surface estimée en zone inondable	 ha	36574.0	36574.0
AIN	01	RI03 Population totale du territoire	 nombre	515478.0	566743.0
AIN	01	RI03 Population estimée en zone inondable	 nombre	31300.0	33400.0
AIN	01	RI03 Nombre total de logements du territoire	 nombre	230972.0	259897.0
AIN	01	RI03 Nombre de logements estimé en zone inondable	 nombre	13600.0	15000.0
AIN	01	RI03 Surface urbanisée continue en zone inondable	 ha	61.0	61.0
AIN	01	RI03 Surface urbanisée discontinue en zone inondable	 ha	1500.0	1507.0
AIN	01	RI03 Surface des zones d'activités en zone inondable	 ha	647.0	680.0
AIN	01	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	239.0	239.0
AIN	01	RI03 Surface des réseaux de communication en zone inondable	 ha	249.0	271.0
AIN	01	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	12601.0	12590.0
AIN	01	RI03 Surface des prairies en zone inondable	 ha	10657.0	10592.0
AIN	01	RI03 Surface des forêts en zone inondable	 ha	5183.0	5242.0
AIN	01	RI03 Surface des autres zones naturelles en zone inondable	 ha	1196.0	1130.0
AIN	01	RI03 Surface des zones humides en zone inondable	 ha	895.0	895.0
AIN	01	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	3347.0	3367.0
AIN	01	RI03 Taux de couverture	%	76.74	76.74
AISNE	02	RI03Surface totale du territoire	 ha	742681.0	742681.0
AISNE	02	RI03 Surface estimée en zone inondable	 ha	30104.0	30104.0
AISNE	02	RI03 Population totale du territoire	 nombre	535313.0	537059.0
AISNE	02	RI03 Population estimée en zone inondable	 nombre	27600.0	27500.0
AISNE	02	RI03 Nombre total de logements du territoire	 nombre	233472.0	245154.0
AISNE	02	RI03 Nombre de logements estimé en zone inondable	 nombre	12400.0	13100.0
AISNE	02	RI03 Surface urbanisée continue en zone inondable	 ha	42.0	42.0
AISNE	02	RI03 Surface urbanisée discontinue en zone inondable	 ha	1819.0	1815.0
AISNE	02	RI03 Surface des zones d'activités en zone inondable	 ha	994.0	1123.0
AISNE	02	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	126.0	126.0
AISNE	02	RI03 Surface des réseaux de communication en zone inondable	 ha	6.0	6.0
AISNE	02	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	11848.0	11840.0
AISNE	02	RI03 Surface des prairies en zone inondable	 ha	10670.0	10509.0
AISNE	02	RI03 Surface des forêts en zone inondable	 ha	3317.0	3214.0
AISNE	02	RI03 Surface des autres zones naturelles en zone inondable	 ha	227.0	330.0
AISNE	02	RI03 Surface des zones humides en zone inondable	 ha	27.0	27.0
AISNE	02	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	1029.0	1074.0
AISNE	02	RI03 Taux de couverture	%	46.46	46.46
ALLIER	03	RI03Surface totale du territoire	 ha	736531.0	736531.0
ALLIER	03	RI03 Surface estimée en zone inondable	 ha	35089.0	35089.0
ALLIER	03	RI03 Population totale du territoire	 nombre	344615.0	343310.0
ALLIER	03	RI03 Population estimée en zone inondable	 nombre	28400.0	28100.0
ALLIER	03	RI03 Nombre total de logements du territoire	 nombre	186356.0	194117.0
ALLIER	03	RI03 Nombre de logements estimé en zone inondable	 nombre	15600.0	16100.0
ALLIER	03	RI03 Surface urbanisée continue en zone inondable	 ha	56.0	56.0
ALLIER	03	RI03 Surface urbanisée discontinue en zone inondable	 ha	1213.0	1213.0
ALLIER	03	RI03 Surface des zones d'activités en zone inondable	 ha	711.0	716.0
ALLIER	03	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	381.0	381.0
ALLIER	03	RI03 Surface des réseaux de communication en zone inondable	 ha	13.0	14.0
ALLIER	03	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	13601.0	13627.0
ALLIER	03	RI03 Surface des prairies en zone inondable	 ha	12582.0	12537.0
ALLIER	03	RI03 Surface des forêts en zone inondable	 ha	1611.0	1611.0
ALLIER	03	RI03 Surface des autres zones naturelles en zone inondable	 ha	1592.0	1619.0
ALLIER	03	RI03 Surface des zones humides en zone inondable	 ha	0.0	0.0
ALLIER	03	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	3330.0	3315.0
ALLIER	03	RI03 Taux de couverture	%	100.0	100.0
ALPES-DE-HAUTE-PROVENCE	04	RI03Surface totale du territoire	 ha	699415.0	699415.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface estimée en zone inondable	 ha	32472.0	32472.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Population totale du territoire	 nombre	139683.0	154501.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Population estimée en zone inondable	 nombre	28700.0	32300.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Nombre total de logements du territoire	 nombre	102427.0	113750.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Nombre de logements estimé en zone inondable	 nombre	18900.0	21500.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface urbanisée continue en zone inondable	 ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface urbanisée discontinue en zone inondable	 ha	1271.0	1293.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des zones d'activités en zone inondable	 ha	517.0	632.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	267.0	267.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des réseaux de communication en zone inondable	 ha	78.0	78.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	17268.0	17155.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des prairies en zone inondable	 ha	800.0	800.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des forêts en zone inondable	 ha	4161.0	4149.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des autres zones naturelles en zone inondable	 ha	6462.0	6451.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surface des zones humides en zone inondable	 ha	37.0	37.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	1609.0	1609.0
ALPES-DE-HAUTE-PROVENCE	04	RI03 Taux de couverture	%	74.36	74.36
ALPES-MARITIMES	06	RI03Surface totale du territoire	 ha	429511.0	429511.0
ALPES-MARITIMES	06	RI03 Surface estimée en zone inondable	 ha	13104.0	13104.0
ALPES-MARITIMES	06	RI03 Population totale du territoire	 nombre	1011866.0	1073187.0
ALPES-MARITIMES	06	RI03 Population estimée en zone inondable	 nombre	284200.0	295700.0
ALPES-MARITIMES	06	RI03 Nombre total de logements du territoire	 nombre	666738.0	704399.0
ALPES-MARITIMES	06	RI03 Nombre de logements estimé en zone inondable	 nombre	191300.0	198700.0
ALPES-MARITIMES	06	RI03 Surface urbanisée continue en zone inondable	 ha	829.0	829.0
ALPES-MARITIMES	06	RI03 Surface urbanisée discontinue en zone inondable	 ha	2913.0	2915.0
ALPES-MARITIMES	06	RI03 Surface des zones d'activités en zone inondable	 ha	1722.0	1723.0
ALPES-MARITIMES	06	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	461.0	461.0
ALPES-MARITIMES	06	RI03 Surface des réseaux de communication en zone inondable	 ha	168.0	168.0
ALPES-MARITIMES	06	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	2143.0	2143.0
ALPES-MARITIMES	06	RI03 Surface des prairies en zone inondable	 ha	319.0	319.0
ALPES-MARITIMES	06	RI03 Surface des forêts en zone inondable	 ha	2185.0	2178.0
ALPES-MARITIMES	06	RI03 Surface des autres zones naturelles en zone inondable	 ha	2187.0	2191.0
ALPES-MARITIMES	06	RI03 Surface des zones humides en zone inondable	 ha	0.0	0.0
ALPES-MARITIMES	06	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	177.0	177.0
ALPES-MARITIMES	06	RI03 Taux de couverture	%	80.67	80.67
ARDECHE	07	RI03Surface totale du territoire	 ha	556030.0	556030.0
ARDECHE	07	RI03 Surface estimée en zone inondable	 ha	11686.0	11686.0
ARDECHE	07	RI03 Population totale du territoire	 nombre	286160.0	306241.0
ARDECHE	07	RI03 Population estimée en zone inondable	 nombre	25800.0	27000.0
ARDECHE	07	RI03 Nombre total de logements du territoire	 nombre	160051.0	178960.0
ARDECHE	07	RI03 Nombre de logements estimé en zone inondable	 nombre	12500.0	13800.0
ARDECHE	07	RI03 Surface urbanisée continue en zone inondable	 ha	16.0	16.0
ARDECHE	07	RI03 Surface urbanisée discontinue en zone inondable	 ha	1093.0	1111.0
ARDECHE	07	RI03 Surface des zones d'activités en zone inondable	 ha	435.0	435.0
ARDECHE	07	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	0.0	0.0
ARDECHE	07	RI03 Surface des réseaux de communication en zone inondable	 ha	0.0	0.0
ARDECHE	07	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	7350.0	7333.0
ARDECHE	07	RI03 Surface des prairies en zone inondable	 ha	195.0	195.0
ARDECHE	07	RI03 Surface des forêts en zone inondable	 ha	1632.0	1632.0
ARDECHE	07	RI03 Surface des autres zones naturelles en zone inondable	 ha	320.0	320.0
ARDECHE	07	RI03 Surface des zones humides en zone inondable	 ha	0.0	0.0
ARDECHE	07	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	645.0	645.0
ARDECHE	07	RI03 Taux de couverture	%	69.57	69.57
ARDENNES	08	RI03Surface totale du territoire	 ha	525047.0	525047.0
ARDENNES	08	RI03 Surface estimée en zone inondable	 ha	26513.0	26513.0
ARDENNES	08	RI03 Population totale du territoire	 nombre	290124.0	285645.0
ARDENNES	08	RI03 Population estimée en zone inondable	 nombre	39900.0	38300.0
ARDENNES	08	RI03 Nombre total de logements du territoire	 nombre	128177.0	134699.0
ARDENNES	08	RI03 Nombre de logements estimé en zone inondable	 nombre	18200.0	19100.0
ARDENNES	08	RI03 Surface urbanisée continue en zone inondable	 ha	155.0	155.0
ARDENNES	08	RI03 Surface urbanisée discontinue en zone inondable	 ha	1257.0	1257.0
ARDENNES	08	RI03 Surface des zones d'activités en zone inondable	 ha	743.0	712.0
ARDENNES	08	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	254.0	254.0
ARDENNES	08	RI03 Surface des réseaux de communication en zone inondable	 ha	14.0	14.0
ARDENNES	08	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	5534.0	5564.0
ARDENNES	08	RI03 Surface des prairies en zone inondable	 ha	15541.0	15462.0
ARDENNES	08	RI03 Surface des forêts en zone inondable	 ha	1242.0	1269.0
ARDENNES	08	RI03 Surface des autres zones naturelles en zone inondable	 ha	28.0	0.0
ARDENNES	08	RI03 Surface des zones humides en zone inondable	 ha	42.0	42.0
ARDENNES	08	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	1702.0	1784.0
ARDENNES	08	RI03 Taux de couverture	%	97.55	97.55
