Lieu	N° région, département	Série	Unité	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
AIN	01	TO01Nombre de nuitées dans l'hôtellerie (yc hôtels de chaine non homologués))	nombre	459400.0	ND	914894.0	923495.0	1021353.0	1004278.0	1057746.0	1095137.0	1161342.0	1115331.0	1088419.0	1087466.0	1062872.0	1074869.0	ND	ND	ND	ND
AIN	01	TO01Nombre de nuitées dans les campings homologués	nombre	392280.0	344900.0	328275.0	346048.0	359837.0	393482.0	390870.0	382641.0	397815.0	386950.0	394098.0	388555.0	392705.0	364770.0	ND	ND	ND	ND
AIN	01	TO01Nombre total de chambres dans l'hôtellerie de chaîne non homologuée	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	34.0	34.0	34.0	39.0	39.0	39.0	39.0	34.0	34.0
AIN	01	TO01Nombre total de chambres dans l'hôtellerie homologuée	nombre	ND	ND	ND	ND	ND	4129.0	4179.0	4133.0	4260.0	4320.0	4287.0	4104.0	4071.0	4010.0	3992.0	3860.0	3783.0	3853.0
AIN	01	TO01Nombre total d'emplacements dans les campings homologués	nombre	ND	ND	ND	ND	ND	7199.0	7053.0	7222.0	7128.0	7128.0	7114.0	6733.0	6848.0	6704.0	6387.0	6496.0	6148.0	6088.0
AIN	01	TO01Nombre total d'emplacements loués à l'année dans les campings homologués	nombre	ND	ND	ND	ND	ND	3003.0	2952.0	2964.0	2866.0	2866.0	2850.0	2484.0	2352.0	2323.0	2103.0	1996.0	2028.0	1947.0
AIN	01	TO01Nombre de nuitées dans les gîtes ruraux en service de réservation	nombre	ND	ND	ND	ND	ND	138308.0	146768.0	144516.0	140832.0	ND	ND	ND	99132.0	ND	ND	ND	ND	ND
AIN	01	TO01Nombre total de gîtes ruraux	nombre	ND	ND	ND	ND	ND	ND	386.0	355.0	372.0	ND	ND	ND	266.0	ND	ND	ND	ND	ND
AIN	01	TO01Nombre de gîtes ruraux en service de réservation	nombre	ND	ND	ND	ND	ND	241.0	230.0	236.0	245.0	ND	ND	ND	210.0	ND	ND	ND	ND	ND
AIN	01	TO01Nombre de gîtes ruraux en location directe	nombre	ND	ND	ND	ND	ND	ND	156.0	119.0	127.0	ND	ND	ND	56.0	ND	ND	ND	ND	ND
AIN	01	TO01Population résidente en 2003	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	539.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AIN	01	TO01Population présente moyenne	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	537.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AIN	01	TO01Population présente maximum	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	567.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AIN	01	TO01Population présente minimum	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	476.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AISNE	02	TO01Nombre de nuitées dans l'hôtellerie (yc hôtels de chaine non homologués))	nombre	388146.0	ND	383059.0	398110.0	554904.0	592307.0	618350.0	528717.0	536289.0	517398.0	525507.0	549818.0	562077.0	559986.0	ND	ND	ND	ND
AISNE	02	TO01Nombre de nuitées dans les campings homologués	nombre	150952.0	136196.0	166775.0	129965.0	139960.0	143842.0	127320.0	122227.0	139575.0	116294.0	307881.0	300610.0	299281.0	324327.0	ND	ND	ND	ND
AISNE	02	TO01Nombre total de chambres dans l'hôtellerie de chaîne non homologuée	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0	12.0	12.0	12.0	0.0
AISNE	02	TO01Nombre total de chambres dans l'hôtellerie homologuée	nombre	ND	ND	ND	ND	ND	1846.0	1868.0	1830.0	1831.0	1861.0	1847.0	1917.0	1855.0	1963.0	1936.0	1891.0	1975.0	1979.0
AISNE	02	TO01Nombre total d'emplacements dans les campings homologués	nombre	ND	ND	ND	ND	ND	2270.0	2234.0	2213.0	2223.0	2223.0	2135.0	2379.0	2432.0	2537.0	2468.0	2422.0	2414.0	2172.0
AISNE	02	TO01Nombre total d'emplacements loués à l'année dans les campings homologués	nombre	ND	ND	ND	ND	ND	813.0	795.0	796.0	789.0	789.0	810.0	784.0	785.0	769.0	692.0	663.0	674.0	607.0
AISNE	02	TO01Nombre de nuitées dans les gîtes ruraux en service de réservation	nombre	ND	ND	ND	ND	ND	ND	ND	ND	49580.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AISNE	02	TO01Nombre total de gîtes ruraux	nombre	ND	ND	ND	ND	ND	ND	93.0	91.0	93.0	ND	ND	ND	105.0	ND	ND	ND	ND	ND
AISNE	02	TO01Nombre de gîtes ruraux en service de réservation	nombre	ND	ND	ND	ND	ND	221.0	81.0	84.0	80.0	ND	ND	ND	88.0	ND	ND	ND	ND	ND
AISNE	02	TO01Nombre de gîtes ruraux en location directe	nombre	ND	ND	ND	ND	ND	ND	12.0	7.0	13.0	ND	ND	ND	17.0	ND	ND	ND	ND	ND
AISNE	02	TO01Population résidente en 2003	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	535.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AISNE	02	TO01Population présente moyenne	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	534.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AISNE	02	TO01Population présente maximum	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	579.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
AISNE	02	TO01Population présente minimum	Milliers hab	ND	ND	ND	ND	ND	ND	ND	ND	481.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
ALLIER	03	TO01Nombre de nuitées dans l'hôtellerie (yc hôtels de chaine non homologués))	nombre	791484.0	ND	761611.0	771100.0	832181.0	822572.0	773926.0	812109.0	773754.0	852073.0	846423.0	852400.0	819917.0	829288.0	ND	ND	ND	ND
ALLIER	03	TO01Nombre de nuitées dans les campings homologués	nombre	313900.0	299594.0	282056.0	283529.0	285630.0	290664.0	281173.0	261416.0	265160.0	260504.0	286342.0	271512.0	234182.0	251820.0	ND	ND	ND	ND
ALLIER	03	TO01Nombre total de chambres dans l'hôtellerie de chaîne non homologuée	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	326.0	397.0	397.0	397.0	397.0	397.0	399.0	385.0	399.0
ALLIER	03	TO01Nombre total de chambres dans l'hôtellerie homologuée	nombre	ND	ND	ND	ND	ND	4381.0	4282.0	4113.0	3942.0	3865.0	3639.0	3498.0	3240.0	3166.0	3004.0	3010.0	2936.0	2919.0
ALLIER	03	TO01Nombre total d'emplacements dans les campings homologués	nombre	ND	ND	ND	ND	ND	3460.0	3409.0	3248.0	3220.0	3220.0	3248.0	3286.0	3158.0	2958.0	2927.0	2914.0	2868.0	2834.0
ALLIER	03	TO01Nombre total d'emplacements loués à l'année dans les campings homologués	nombre	ND	ND	ND	ND	ND	59.0	62.0	64.0	69.0	69.0	104.0	136.0	85.0	84.0	82.0	78.0	80.0	112.0
ALLIER	03	TO01Nombre de nuitées dans les gîtes ruraux en service de réservation	nombre	ND	ND	ND	ND	ND	82748.0	62220.0	85188.0	94784.0	ND	ND	ND	92096.0	ND	ND	ND	ND	ND
ALLIER	03	TO01Nombre total de gîtes ruraux	nombre	ND	ND	ND	ND	ND	ND	340.0	354.0	373.0	ND	ND	ND	368.0	ND	ND	ND	ND	ND
