Lieu	N° région, département	Série	Unité	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
ALSACE	42	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	6.0	6.0	6.0	6.0	6.0	7.0	8.0	7.0	7.0	7.0	7.0	7.0	6.0
ALSACE	42	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0	821413.0
ALSACE	42	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	20.0	20.0	21.0	24.0	20.0	21.0	21.0	29.0	24.0	25.0	25.0	23.0	22.0
ALSACE	42	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	8.0	21.0	37.0	40.0	20.0	27.0	36.0	79.0	55.0	57.0	51.0	48.0	32.0
ALSACE	42	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	2.7	8.8	17.5	20.0	4.5	8.4	14.1	47.7	28.4	34.0	35.6	20.0	14.3
ALSACE	42	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	3.2	8.8	17.5	20.0	5.4	9.8	16.1	47.7	28.4	34.0	35.6	28.0	21.5
ALSACE	42	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	0.0	3.0	5.0	8.0	4.0	0.0	2.0	13.0	10.0	12.0	8.0	2.0	5.0
ALSACE	42	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	0.0	0.7	2.0	1.7	0.8	0.0	0.4	7.4	5.1	5.0	3.7	0.3	1.3
ALSACE	42	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	2.0	2.4	3.3	2.5	ND	1.5	7.4	5.1	5.8	4.3	2.0	2.7
ALSACE	42	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	2.0	11.0	21.0	27.0	10.0	14.0	21.0	56.0	35.0	37.0	34.0	32.0	19.0
ALSACE	42	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0
ALSACE	42	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	3.7	ND	ND	ND	ND	ND
ALSACE	42	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALSACE	42	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0
ALSACE	42	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	26.0	25.0	26.0	27.0	23.0	24.0	25.0	34.0	30.0	33.0	31.0	30.0	27.0
AQUITAINE	72	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	8.0	0.0	10.0	10.0	11.0	12.0	12.0	12.0	11.0	12.0	12.0	10.0	10.0
AQUITAINE	72	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	1265523.0	ND	1411677.0	1411677.0	1460457.0	1521914.0	1521914.0	1521914.0	1521914.0	1521914.0	1521914.0	1521914.0	1521914.0
AQUITAINE	72	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	ND	ND	ND	22.0	ND	22.0	21.0	24.0	20.0	21.0	21.0	23.0	21.0
AQUITAINE	72	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	ND	ND	ND	106.0	55.0	79.0	89.0	60.0	53.0	62.0	51.0	71.0	52.0
AQUITAINE	72	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	ND	ND	ND	18.7	8.5	15.1	16.1	8.7	11.8	16.0	10.4	26.0	14.5
AQUITAINE	72	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	20.8	11.8	16.5	16.1	20.8	13.0	17.5	11.4	26.0	16.1
AQUITAINE	72	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	ND	ND	ND	11.0	12.0	9.0	11.0	8.0	4.0	3.0	6.0	14.0	4.0
AQUITAINE	72	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	ND	ND	ND	1.1	1.3	1.3	0.9	0.7	0.8	0.6	0.5	3.1	0.8
AQUITAINE	72	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	3.7	3.5	3.0	5.5	4.0	1.5	1.8	1.5	4.4	1.6
