Lieu	N° région, département	Série	Unité	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
ALSACE	42	BR02Nombre de mouvements d'appareils commerciaux	nombre	75642.0	79711.0	91477.0	105251.0	112935.0	130286.0	146989.0	144079.0	140451.0	125141.0	103176.0	95712.0	97346.0	97882.0	95718.0	92509.0	81330.0	80362.0	89828.0	92009.0
AQUITAINE	72	BR02Nombre de mouvements d'appareils commerciaux	nombre	50359.0	51104.0	55796.0	64226.0	69843.0	74143.0	74083.0	75072.0	77859.0	75462.0	71379.0	71470.0	73511.0	74901.0	75952.0	76886.0	70521.0	70108.0	76255.0	74734.0
AUVERGNE	83	BR02Nombre de mouvements d'appareils commerciaux	nombre	14648.0	15691.0	15674.0	20807.0	26328.0	31631.0	38152.0	41364.0	38485.0	48385.0	37921.0	27812.0	25621.0	23421.0	22454.0	21423.0	16326.0	14512.0	13266.0	12535.0
BASSE NORMANDIE	25	BR02Nombre de mouvements d'appareils commerciaux	nombre	11055.0	10812.0	9305.0	9619.0	9582.0	11699.0	11855.0	9379.0	7297.0	7959.0	8240.0	6140.0	7983.0	6758.0	7028.0	6258.0	5819.0	4986.0	5325.0	4826.0
BOURGOGNE	26	BR02Nombre de mouvements d'appareils commerciaux	nombre	3352.0	3283.0	3032.0	2979.0	2992.0	3547.0	3246.0	2614.0	3086.0	3206.0	2914.0	2347.0	2654.0	1671.0	2019.0	1916.0	1485.0	1571.0	3879.0	3467.0
BRETAGNE	53	BR02Nombre de mouvements d'appareils commerciaux	nombre	34210.0	34999.0	39569.0	40600.0	44363.0	48213.0	53446.0	50729.0	48330.0	47180.0	44311.0	45267.0	45632.0	47210.0	46886.0	46337.0	41493.0	37444.0	41217.0	38730.0
CENTRE	24	BR02Nombre de mouvements d'appareils commerciaux	nombre	2558.0	2386.0	2402.0	2126.0	2143.0	1959.0	2052.0	2031.0	1205.0	1763.0	2613.0	2465.0	2676.0	2203.0	1952.0	1795.0	2145.0	1831.0	1622.0	2093.0
CHAMPAGNE-ARDENNE	21	BR02Nombre de mouvements d'appareils commerciaux	nombre	1710.0	1518.0	1542.0	1567.0	1758.0	1603.0	697.0	1219.0	1099.0	1365.0	1706.0	1521.0	2746.0	3025.0	1550.0	2198.0	1568.0	867.0	1283.0	1412.0
CORSE	94	BR02Nombre de mouvements d'appareils commerciaux	nombre	43806.0	39184.0	36596.0	38254.0	38954.0	39437.0	38889.0	40246.0	40010.0	40909.0	41107.0	36427.0	35967.0	36184.0	36560.0	37635.0	37768.0	37513.0	38167.0	38000.0
FRANCHE COMTE	43	BR02Nombre de mouvements d'appareils commerciaux	nombre	734.0	799.0	805.0	1000.0	1019.0	1246.0	1057.0	1404.0	1217.0	980.0	968.0	968.0	929.0	995.0	987.0	994.0	826.0	857.0	1080.0	1498.0
HAUTE NORMANDIE	23	BR02Nombre de mouvements d'appareils commerciaux	nombre	11824.0	9541.0	11999.0	12384.0	13124.0	11319.0	14035.0	11835.0	7559.0	7407.0	10056.0	6177.0	5916.0	5220.0	5074.0	2381.0	4422.0	1661.0	1581.0	1590.0
ILE DE FRANCE	11	BR02Nombre de mouvements d'appareils commerciaux	nombre	508144.0	527513.0	557991.0	605852.0	632491.0	663605.0	709232.0	748615.0	731795.0	709673.0	708800.0	735440.0	737006.0	762553.0	777629.0	781454.0	738993.0	707508.0	735974.0	768354.0
LANGUEDOC-ROUSSILLON	91	BR02Nombre de mouvements d'appareils commerciaux	nombre	24434.0	24485.0	27849.0	33516.0	35145.0	39693.0	40398.0	40183.0	37551.0	37583.0	34528.0	24733.0	25357.0	27301.0	26140.0	24094.0	24339.0	22924.0	25946.0	26170.0
LIMOUSIN	74	BR02Nombre de mouvements d'appareils commerciaux	nombre	6809.0	7066.0	7328.0	6586.0	6434.0	7069.0	7188.0	6639.0	6007.0	6611.0	6239.0	6768.0	7295.0	975.0	8310.0	7980.0	7120.0	7624.0	8156.0	7830.0
