Lieu	N° région, département	Série	Unité	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
ALSACE	42	EA04Volume des précipitations totales	 Millions m3	7587.235	8792.845	8649.969	8021.536	7342.895	6115.206	8845.284	8098.448	8658.882	6604.104	7358.59	5743.663	7357.441	7309.059	7661.951	8823.756	6403.179	7056.44	7319.883	9344.959	8040.446	8891.513	8812.637	5277.735	7337.73	5964.626	7958.612	8382.656	7559.391	7212.142	7183.455	6142.226	8012.247
ALSACE	42	EA04Superficie du territoire considéré pour les précipitations	 km²	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175
ALSACE	42	EA04Volume des pluies efficaces	 Millions m3	3090.716	4215.989	3700.629	4135.381	2992.65	1921.455	4048.465	3320.118	4085.818	2209.953	2598.163	1777.127	2720.676	2940.911	3097.977	3942.954	2019.673	2233.711	2938.798	4278.621	2821.68	4237.765	3600.778	665.78	2669.069	1252.803	ND	1475.145	2402.331	2344.506	2298.371	1228.184	2869.123
ALSACE	42	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175	8335.175
ALSACE	42	EA04Hauteur des précipitations totales	mm	910.0	1055.0	1038.0	962.0	881.0	734.0	1061.0	972.0	1039.0	792.0	883.0	689.0	883.0	877.0	919.0	1059.0	768.0	847.0	878.0	1121.0	965.0	1067.0	1057.0	633.0	880.0	716.0	955.0	1006.0	907.0	865.0	862.0	737.0	961.0
ALSACE	42	EA04Hauteur des précipitations efficaces	mm	371.0	506.0	444.0	496.0	359.0	231.0	486.0	398.0	490.0	265.0	312.0	213.0	326.0	353.0	372.0	473.0	242.0	268.0	353.0	513.0	339.0	508.0	432.0	80.0	320.0	150.0	ND	ND	288.0	281.0	276.0	147.0	344.0
AQUITAINE	72	EA04Volume des précipitations totales	 Millions m3	43148.01	48161.712	47453.261	36362.148	50441.845	34423.18	44817.458	36162.085	43362.39	31799.741	41156.379	37161.998	49505.78	44512.412	48243.852	40177.293	43873.18	42589.991	39212.188	45079.269	48044.46	37699.223	37228.577	38779.832	39635.914	32509.499	42071.157	42503.908	48160.152	44879.803	38105.066	31871.302	38813.317
AQUITAINE	72	EA04Superficie du territoire considéré pour les précipitations	 km²	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226
AQUITAINE	72	EA04Volume des pluies efficaces	 Millions m3	17231.894	19902.051	22472.125	9489.824	20791.911	11194.857	20836.119	9962.444	18977.765	6696.764	12390.452	10256.648	18716.43	14170.844	19919.495	14316.92	15148.153	11785.726	13442.604	15382.77	19947.268	13454.719	8209.498	7217.336	12196.733	5114.812	ND	10856.663	17661.585	18375.818	13672.334	7659.629	12326.313
AQUITAINE	72	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226	41875.226
AQUITAINE	72	EA04Hauteur des précipitations totales	mm	1030.0	1150.0	1133.0	868.0	1205.0	822.0	1070.0	864.0	1036.0	759.0	983.0	887.0	1182.0	1063.0	1152.0	959.0	1048.0	1017.0	936.0	1077.0	1147.0	900.0	889.0	926.0	947.0	776.0	1005.0	1015.0	1150.0	1072.0	910.0	761.0	927.0
AQUITAINE	72	EA04Hauteur des précipitations efficaces	mm	412.0	475.0	537.0	227.0	497.0	267.0	498.0	238.0	453.0	160.0	296.0	245.0	447.0	338.0	476.0	342.0	362.0	281.0	321.0	367.0	476.0	321.0	196.0	172.0	291.0	122.0	ND	ND	422.0	439.0	327.0	183.0	294.0
AUVERGNE	83	EA04Volume des précipitations totales	 Millions m3	25744.227	29482.513	25057.566	24985.641	25583.498	18422.624	25384.366	24353.912	27910.535	18337.863	23988.471	18367.53	28647.591	25255.881	31168.246	25679.432	24757.299	21843.328	24035.686	27017.736	25621.66	26896.257	24227.988	21492.487	25861.728	20229.868	25950.648	28058.583	29197.035	22157.856	26483.877	20449.208	23648.246
