Lieu	N° région, département	Série	Unité	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
ALSACE	42	ES16Excédent brut et revenu mixte	millions d'euros	5602.9	5630.1	5809.0	6098.9	6322.9	6598.4	7191.5	7138.9	6755.7	6783.8
ALSACE	42	ES16Salaires et traitements bruts	millions d'euros	18462.4	19375.3	19754.2	20438.2	20845.6	20966.7	21704.5	22293.7	21981.2	22306.8
ALSACE	42	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	3051.6	3224.9	3325.9	3477.6	3219.7	3333.8	3412.1	3577.7	3587.6	3687.4
ALSACE	42	ES16Impôts	millions d'euros	3817.2	3969.1	4181.9	4258.6	4422.0	4428.0	4443.0	4662.7	4432.1	4547.7
ALSACE	42	ES16Prestations en espèces	millions d'euros	8075.0	8508.1	8856.9	9325.2	9530.0	9784.2	9900.0	10408.7	10964.8	11324.4
ALSACE	42	ES16Autres	millions d'euros	3363.2	3462.4	3537.0	3743.5	3791.8	3954.1	4179.6	3681.0	3602.8	3567.0
ALSACE	42	ES16Revenu disponible brut	millions d'euros	28634.7	29781.9	30449.3	31869.6	32848.6	33541.6	35120.5	35281.9	35284.8	35746.9
ALSACE	42	ES16Revenu disponible brut par habitant	Euros	16251.0	16790.0	17055.0	17732.0	18154.0	18416.0	19167.0	19174.0	19101.0	19336.0
AQUITAINE	72	ES16Excédent brut et revenu mixte	millions d'euros	11798.5	11897.0	12156.2	12768.9	13205.9	14109.7	14727.1	15016.4	14386.8	14368.6
AQUITAINE	72	ES16Salaires et traitements bruts	millions d'euros	24962.5	26078.4	26767.3	27835.5	29855.6	31477.8	32846.2	33529.3	33598.9	34313.9
AQUITAINE	72	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	4271.5	4501.2	4725.0	4943.7	5165.3	5548.9	5746.7	6101.6	6240.7	6361.8
AQUITAINE	72	ES16Impôts	millions d'euros	5906.1	5861.1	6126.0	6356.2	6778.6	7059.7	7186.9	7492.9	7328.6	7535.8
AQUITAINE	72	ES16Prestations en espèces	millions d'euros	14361.8	15065.6	15683.9	16408.5	16834.6	18248.6	18982.1	19811.3	21171.1	21713.3
AQUITAINE	72	ES16Autres	millions d'euros	5187.0	5425.3	5650.9	6094.6	6346.1	6779.5	7198.3	6542.1	6404.0	6396.0
AQUITAINE	72	ES16Revenu disponible brut	millions d'euros	46132.2	48104.0	49407.3	51807.6	54298.3	58007.0	60820.1	61304.6	61991.5	62894.2
AQUITAINE	72	ES16Revenu disponible brut par habitant	Euros	15491.0	15989.0	16256.0	16868.0	17493.0	18501.0	19227.0	19206.0	19258.0	19377.0
AUVERGNE	83	ES16Excédent brut et revenu mixte	millions d'euros	5227.7	5321.9	5504.9	5626.8	5862.4	6225.9	6501.1	6476.4	6131.5	6161.2
AUVERGNE	83	ES16Salaires et traitements bruts	millions d'euros	10402.8	10835.4	11106.9	11505.5	12037.2	12325.0	12563.5	13276.1	13097.9	13428.7
AUVERGNE	83	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	1826.9	1920.2	2007.4	2088.1	2128.6	2230.3	2264.3	2402.9	2399.5	2476.2
AUVERGNE	83	ES16Impôts	millions d'euros	2329.6	2306.1	2375.7	2466.7	2620.3	2639.8	2633.1	2810.3	2726.0	2803.0
AUVERGNE	83	ES16Prestations en espèces	millions d'euros	6674.4	6948.4	7190.5	7496.9	8021.9	8699.8	8902.0	9429.9	9540.2	10058.1
AUVERGNE	83	ES16Autres	millions d'euros	2177.7	2292.4	2387.1	2571.6	2614.7	2763.3	2879.5	2657.8	2524.6	2571.4
AUVERGNE	83	ES16Revenu disponible brut	millions d'euros	20326.1	21171.8	21806.3	22646.0	23787.3	25143.9	25948.7	26627.0	26168.7	26940.2
AUVERGNE	83	ES16Revenu disponible brut par habitant	Euros	15423.0	16020.0	16454.0	17034.0	17833.0	18798.0	19359.0	19828.0	19459.0	19974.0
BASSE NORMANDIE	25	ES16Excédent brut et revenu mixte	millions d'euros	5124.7	5151.6	5361.4	5509.6	5700.1	6006.7	6323.4	6459.6	6064.6	6125.8
BASSE NORMANDIE	25	ES16Salaires et traitements bruts	millions d'euros	11121.4	11543.5	11891.5	12309.7	12749.3	13149.5	13568.3	14321.1	14403.5	14687.1
BASSE NORMANDIE	25	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	1941.9	2034.3	2134.0	2223.5	2206.9	2320.6	2371.9	2534.8	2556.3	2626.2
BASSE NORMANDIE	25	ES16Impôts	millions d'euros	2486.2	2432.7	2524.0	2626.7	2768.7	2824.7	2856.4	2983.5	2941.8	3021.0
BASSE NORMANDIE	25	ES16Prestations en espèces	millions d'euros	6885.5	7230.5	7510.2	7862.3	8213.7	9161.9	9325.8	9969.6	10132.5	10658.5
BASSE NORMANDIE	25	ES16Autres	millions d'euros	2331.0	2444.8	2544.8	2732.1	2795.8	2942.6	3073.5	2857.7	2822.2	2824.1
BASSE NORMANDIE	25	ES16Revenu disponible brut	millions d'euros	21034.5	21903.4	22649.9	23563.5	24483.3	26115.4	27062.7	28089.7	27924.7	28648.3
BASSE NORMANDIE	25	ES16Revenu disponible brut par habitant	Euros	14657.0	15207.0	15673.0	16252.0	16832.0	17898.0	18502.0	19120.0	18965.0	19420.0
BOURGOGNE	26	ES16Excédent brut et revenu mixte	millions d'euros	6263.9	6298.3	6423.3	6679.9	6908.5	7273.7	7760.1	7289.2	7211.2	7089.9
BOURGOGNE	26	ES16Salaires et traitements bruts	millions d'euros	13312.0	13892.3	14249.0	14735.6	15197.7	15515.2	16728.9	16834.0	16503.3	16795.3
BOURGOGNE	26	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	2302.8	2414.6	2523.1	2628.5	2573.3	2689.6	2835.4	2886.8	2870.7	2969.4
BOURGOGNE	26	ES16Impôts	millions d'euros	3056.0	2986.0	3086.3	3186.3	3368.1	3431.9	3491.3	3567.3	3487.3	3582.5
BOURGOGNE	26	ES16Prestations en espèces	millions d'euros	8198.1	8554.2	8889.9	9285.2	9538.2	10191.4	10433.7	10946.4	11466.1	11876.0
BOURGOGNE	26	ES16Autres	millions d'euros	2786.9	2892.7	3015.7	3223.4	3268.3	3414.4	3569.8	3175.4	3139.1	3138.1
BOURGOGNE	26	ES16Revenu disponible brut	millions d'euros	25202.1	26236.9	26968.5	28109.3	28971.3	30273.2	32165.8	31790.9	31961.7	32347.4
BOURGOGNE	26	ES16Revenu disponible brut par habitant	Euros	15585.0	16200.0	16631.0	17305.0	17801.0	18557.0	19674.0	19379.0	19446.0	19684.0
BRETAGNE	53	ES16Excédent brut et revenu mixte	millions d'euros	12192.0	11974.4	12535.5	12913.8	13471.7	14329.1	15062.0	14915.0	14130.8	14195.4
BRETAGNE	53	ES16Salaires et traitements bruts	millions d'euros	23733.1	24336.6	24872.0	25800.6	28061.7	28770.4	29708.7	31773.4	32261.2	33422.4
BRETAGNE	53	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	4094.4	4295.6	4497.1	4705.4	4945.2	5214.2	5360.8	5764.4	5836.2	5981.5
BRETAGNE	53	ES16Impôts	millions d'euros	5422.4	5386.2	5611.1	5851.8	6294.4	6442.4	6511.0	6871.5	6737.9	6932.4
BRETAGNE	53	ES16Prestations en espèces	millions d'euros	13499.7	14274.1	14890.9	15645.4	15968.3	17799.6	18286.9	19477.3	20640.2	21259.8
BRETAGNE	53	ES16Autres	millions d'euros	4851.8	5121.8	5361.1	5809.4	6072.3	6470.8	6825.0	6284.4	6067.6	6109.7
BRETAGNE	53	ES16Revenu disponible brut	millions d'euros	44759.8	46025.1	47551.3	49612.0	52334.4	55713.3	58010.8	59814.2	60525.7	62073.4
BRETAGNE	53	ES16Revenu disponible brut par habitant	Euros	15081.0	15365.0	15729.0	16256.0	16989.0	17929.0	18530.0	18914.0	18994.0	19327.0
CENTRE	24	ES16Excédent brut et revenu mixte	millions d'euros	8838.0	8846.1	9122.9	9472.2	9711.8	10343.1	11239.6	11030.2	10370.8	10458.0
CENTRE	24	ES16Salaires et traitements bruts	millions d'euros	22126.5	23071.2	23687.6	24519.1	25192.0	26194.7	26665.3	27975.0	27841.5	28374.0
CENTRE	24	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	3606.1	3783.2	3949.5	4107.4	4131.7	4381.5	4452.1	4702.5	4747.5	4870.3
CENTRE	24	ES16Impôts	millions d'euros	4912.5	4838.1	5017.1	5144.9	5413.3	5536.9	5531.7	5785.3	5622.6	5775.7
CENTRE	24	ES16Prestations en espèces	millions d'euros	12197.8	12840.8	13344.1	14007.9	14428.4	15093.4	15434.7	16396.1	17136.0	17771.0
CENTRE	24	ES16Autres	millions d'euros	4357.3	4500.7	4665.3	4973.9	5056.9	5356.4	5578.6	5135.7	4975.3	4974.3
CENTRE	24	ES16Revenu disponible brut	millions d'euros	39001.0	40637.5	41853.3	43720.8	44844.1	47069.2	48934.4	50049.2	49953.5	50931.3
CENTRE	24	ES16Revenu disponible brut par habitant	Euros	15807.0	16395.0	16813.0	17483.0	17842.0	18654.0	19334.0	19743.0	19654.0	19961.0
CHAMPAGNE-ARDENNE	21	ES16Excédent brut et revenu mixte	millions d'euros	4726.8	4704.0	4592.3	5072.4	5046.4	5348.4	5915.1	5687.4	5268.0	5355.8
CHAMPAGNE-ARDENNE	21	ES16Salaires et traitements bruts	millions d'euros	11389.8	11890.4	12161.4	12595.9	12466.6	12998.8	13703.4	13724.4	13644.9	13703.1
CHAMPAGNE-ARDENNE	21	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	1944.3	2041.4	2126.1	2206.8	2041.7	2163.0	2248.7	2334.0	2334.9	2405.6
CHAMPAGNE-ARDENNE	21	ES16Impôts	millions d'euros	2706.0	2574.1	2626.1	2694.4	2793.0	2880.9	2905.7	3006.6	2950.3	3029.5
CHAMPAGNE-ARDENNE	21	ES16Prestations en espèces	millions d'euros	6287.2	6549.9	6747.3	7042.3	7170.9	7640.2	7820.4	8241.3	8779.3	9020.3
CHAMPAGNE-ARDENNE	21	ES16Autres	millions d'euros	2189.5	2271.7	2376.3	2471.9	2523.7	2598.8	2707.7	2541.3	2441.2	2471.0
