Lieu	N° région, département	Série	Unité	2006	2007	2008
AIN	01	ES17Moyenne du revenu disponible des ménages	Euros	34387.0	35404.0	37048.0
AIN	01	ES17Médiane du revenu disponible des ménages	Euros	29515.0	30393.0	31494.0
AIN	01	ES17Premier décile du revenu disponible des ménages	Euros	12791.0	13434.0	13787.0
AIN	01	ES17Neuvième décile du revenu disponible des ménages	Euros	59497.0	60655.0	63705.0
AIN	01	ES17Moyenne du niveau de vie des individus	Euros	20937.0	21685.0	22854.0
AIN	01	ES17Médiane du niveau de vie des individus	Euros	18248.0	18942.0	19829.0
AIN	01	ES17Premier décile du niveau de vie des individus	Euros	10340.0	10799.0	11381.0
AIN	01	ES17Neuvième décile du niveau de vie des individus	Euros	33309.0	34107.0	36157.0
AIN	01	ES17Taux de pauvreté à 60%	%	10.7	10.3	10.0
AIN	01	ES17Taux de pauvreté à 50%	%	6.0	5.5	5.5
AIN	01	ES17Taux de pauvreté à 40%	%	3.4	2.8	2.8
AISNE	02	ES17Moyenne du revenu disponible des ménages	Euros	30123.0	30729.0	31951.0
AISNE	02	ES17Médiane du revenu disponible des ménages	Euros	25665.0	26231.0	26984.0
AISNE	02	ES17Premier décile du revenu disponible des ménages	Euros	11990.0	12406.0	12624.0
AISNE	02	ES17Neuvième décile du revenu disponible des ménages	Euros	51182.0	51865.0	53842.0
AISNE	02	ES17Moyenne du niveau de vie des individus	Euros	18408.0	18850.0	19837.0
AISNE	02	ES17Médiane du niveau de vie des individus	Euros	16073.0	16476.0	17415.0
AISNE	02	ES17Premier décile du niveau de vie des individus	Euros	9158.0	9382.0	9839.0
AISNE	02	ES17Neuvième décile du niveau de vie des individus	Euros	28776.0	29427.0	30621.0
AISNE	02	ES17Taux de pauvreté à 60%	%	16.6	17.2	16.4
AISNE	02	ES17Taux de pauvreté à 50%	%	8.7	8.8	8.9
AISNE	02	ES17Taux de pauvreté à 40%	%	3.1	3.3	3.3
ALLIER	03	ES17Moyenne du revenu disponible des ménages	Euros	28537.0	29005.0	29874.0
ALLIER	03	ES17Médiane du revenu disponible des ménages	Euros	24059.0	24637.0	25148.0
ALLIER	03	ES17Premier décile du revenu disponible des ménages	Euros	11257.0	11648.0	11868.0
ALLIER	03	ES17Neuvième décile du revenu disponible des ménages	Euros	49292.0	49810.0	51187.0
ALLIER	03	ES17Moyenne du niveau de vie des individus	Euros	18886.0	19279.0	20051.0
