Lieu	N° région, département	Série	Unité	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
ALSACE	42	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	360.0	310.0	252.0	217.0	119.0	106.0	58.0	33.0	14.0	43.0	54.0	17.0	29.0	59.0	87.0	142.0	132.0	149.0	210.0	174.0	171.0	223.0	203.0	199.0
ALSACE	42	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	84000.0	85100.0	86300.0	91300.0	95400.0	101800.0	102000.0	103500.0	150900.0	136300.0	135512.0	135796.0	125870.0	168365.0	160248.0	165912.0	177144.0	175161.0	182774.0	195039.0	215732.0	207714.0	226639.0	211548.0
ALSACE	42	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	2032.0	2267.0	2913.0	3124.0	3191.0	2767.0	2186.0	2158.0	2294.0	3181.0	3060.0	3606.0	4098.0	4417.0	4295.0	2913.0	3210.0	3035.0	3649.0	3843.0	4647.0	4232.0	4173.0	2433.0
ALSACE	42	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	948.0	968.0	1019.0	1123.0	1200.0	1230.0	1306.0	1396.0	1458.0	1517.0	1533.0	1598.0	1645.0	1629.0	1690.0	1679.0	1750.0	1799.0	1894.0	2037.0	2269.0	2440.0	2615.0	2686.0
AQUITAINE	72	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	981.0	975.0	916.0	873.0	871.0	685.0	592.0	366.0	206.0	310.0	259.0	391.0	563.0	785.0	808.0	737.0	1036.0	913.0	956.0	1108.0	1325.0	1021.0	1394.0	752.0
AQUITAINE	72	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	ND	ND	61000.0	60700.0	71000.0	82800.0	96200.0	96700.0	101100.0	111700.0	89663.0	95111.0	109689.0	114935.0	113523.0	113733.0	116773.0	111172.0	156338.0	169611.0	169100.0	193165.0	208634.0	207070.0
AQUITAINE	72	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	1891.0	2389.0	3087.0	3602.0	4196.0	4401.0	3785.0	2874.0	2702.0	2643.0	2367.0	2382.0	3167.0	3497.0	5364.0	3774.0	3439.0	3990.0	5396.0	6734.0	7993.0	7178.0	6666.0	3398.0
AQUITAINE	72	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	ND	ND	1239.0	1286.0	1385.0	1532.0	1540.0	1591.0	1563.0	1527.0	1571.0	1571.0	1628.0	1579.0	1654.0	1766.0	1858.0	1467.0	2137.0	2342.0	2529.0	2871.0	2993.0	2992.0
AUVERGNE	83	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	317.0	313.0	122.0	146.0	108.0	85.0	51.0	41.0	38.0	64.0	56.0	24.0	43.0	105.0	67.0	39.0	100.0	100.0	63.0	134.0	88.0	143.0	187.0	80.0
AUVERGNE	83	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	71200.0	69200.0	73200.0	64500.0	63000.0	83800.0	100300.0	96500.0	83800.0	69100.0	86806.0	115683.0	111738.0	127733.0	135031.0	144205.0	129119.0	139888.0	137959.0	152750.0	182206.0	180537.0	167669.0	177510.0
AUVERGNE	83	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	485.0	477.0	600.0	503.0	578.0	453.0	451.0	494.0	503.0	852.0	583.0	569.0	528.0	541.0	857.0	334.0	586.0	526.0	842.0	1397.0	1433.0	1970.0	1594.0	786.0
AUVERGNE	83	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1042.0	1005.0	1121.0	1241.0	1269.0	1308.0	1284.0	1322.0	1310.0	1435.0	1442.0	1433.0	1492.0	1494.0	1531.0	1546.0	1691.0	1706.0	1960.0	2068.0	2468.0	2458.0	2605.0	2443.0
BASSE NORMANDIE	25	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	245.0	209.0	199.0	212.0	125.0	316.0	166.0	92.0	183.0	131.0	128.0	245.0	338.0	376.0	436.0	328.0	321.0	453.0	430.0	356.0	527.0	459.0	354.0	255.0
BASSE NORMANDIE	25	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	70700.0	72400.0	78700.0	71800.0	67700.0	118600.0	92500.0	97700.0	89500.0	105600.0	101479.0	105400.0	102998.0	104420.0	102264.0	96330.0	121381.0	130904.0	131800.0	158783.0	180840.0	177503.0	195914.0	214579.0
BASSE NORMANDIE	25	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	1033.0	1182.0	923.0	1435.0	1679.0	1624.0	1036.0	873.0	1162.0	1471.0	1412.0	1128.0	910.0	770.0	1130.0	617.0	625.0	787.0	1052.0	1978.0	1558.0	1653.0	1921.0	1103.0
BASSE NORMANDIE	25	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	1288.0	1309.0	1389.0	1529.0	1703.0	2019.0	2008.0	1929.0	1948.0	1631.0	1733.0	1649.0	1687.0	1636.0	1790.0	1811.0	1808.0	1854.0	2082.0	2091.0	2424.0	2670.0	2886.0	3216.0
BOURGOGNE	26	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	276.0	317.0	189.0	193.0	134.0	87.0	103.0	59.0	41.0	72.0	65.0	45.0	50.0	177.0	219.0	105.0	158.0	172.0	239.0	185.0	179.0	158.0	400.0	245.0
BOURGOGNE	26	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	70100.0	79600.0	81100.0	86000.0	93900.0	92500.0	90700.0	93100.0	96700.0	97600.0	127714.0	140588.0	121264.0	118672.0	119261.0	122886.0	127348.0	141834.0	149074.0	168748.0	170822.0	ND	183328.0	182218.0
