Lieu	N° région, département	Série	Unité	2004	2008
ALSACE	42	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
ALSACE	42	RA08Etablissements de recherche (hors CEA)	nombre	30.0	35.0
ALSACE	42	RA08Installations industrielles (hors production d'électricité)	nombre	3.0	5.0
ALSACE	42	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
ALSACE	42	RA08Activités médicales	nombre	7.0	8.0
ALSACE	42	RA08Etablissements de la défense nationale	nombre	2.0	1.0
ALSACE	42	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
ALSACE	42	RA08Amont du cycle du combustible	nombre	1.0	1.0
ALSACE	42	RA08Aval du cycle du combustible	nombre	0.0	0.0
ALSACE	42	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
ALSACE	42	RA08Sites d'entreposage et stockage	nombre	0.0	1.0
ALSACE	42	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	2.0
ALSACE	42	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	44.0	52.0
AQUITAINE	72	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AQUITAINE	72	RA08Etablissements de recherche (hors CEA)	nombre	16.0	26.0
AQUITAINE	72	RA08Installations industrielles (hors production d'électricité)	nombre	3.0	11.0
AQUITAINE	72	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
AQUITAINE	72	RA08Activités médicales	nombre	10.0	9.0
AQUITAINE	72	RA08Etablissements de la défense nationale	nombre	6.0	8.0
AQUITAINE	72	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
AQUITAINE	72	RA08Amont du cycle du combustible	nombre	0.0	0.0
AQUITAINE	72	RA08Aval du cycle du combustible	nombre	0.0	0.0
AQUITAINE	72	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
AQUITAINE	72	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
AQUITAINE	72	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	2.0
AQUITAINE	72	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	38.0	57.0
AUVERGNE	83	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
AUVERGNE	83	RA08Etablissements de recherche (hors CEA)	nombre	10.0	17.0
AUVERGNE	83	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
AUVERGNE	83	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
AUVERGNE	83	RA08Activités médicales	nombre	2.0	2.0
AUVERGNE	83	RA08Etablissements de la défense nationale	nombre	4.0	3.0
AUVERGNE	83	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
AUVERGNE	83	RA08Amont du cycle du combustible	nombre	2.0	2.0
AUVERGNE	83	RA08Aval du cycle du combustible	nombre	0.0	0.0
AUVERGNE	83	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
AUVERGNE	83	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
AUVERGNE	83	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
AUVERGNE	83	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	19.0	25.0
BASSE NORMANDIE	25	RA08Centres d'études et de recherche du CEA civil	nombre	1.0	1.0
BASSE NORMANDIE	25	RA08Etablissements de recherche (hors CEA)	nombre	5.0	6.0
BASSE NORMANDIE	25	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	2.0
BASSE NORMANDIE	25	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
BASSE NORMANDIE	25	RA08Activités médicales	nombre	6.0	6.0
BASSE NORMANDIE	25	RA08Etablissements de la défense nationale	nombre	6.0	7.0
BASSE NORMANDIE	25	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
BASSE NORMANDIE	25	RA08Amont du cycle du combustible	nombre	0.0	0.0
BASSE NORMANDIE	25	RA08Aval du cycle du combustible	nombre	1.0	1.0
BASSE NORMANDIE	25	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
BASSE NORMANDIE	25	RA08Sites d'entreposage et stockage	nombre	2.0	2.0
BASSE NORMANDIE	25	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
BASSE NORMANDIE	25	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	23.0	26.0
BOURGOGNE	26	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
BOURGOGNE	26	RA08Etablissements de recherche (hors CEA)	nombre	8.0	13.0
BOURGOGNE	26	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	0.0
BOURGOGNE	26	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
BOURGOGNE	26	RA08Activités médicales	nombre	11.0	12.0
BOURGOGNE	26	RA08Etablissements de la défense nationale	nombre	3.0	3.0
BOURGOGNE	26	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
BOURGOGNE	26	RA08Amont du cycle du combustible	nombre	2.0	2.0
BOURGOGNE	26	RA08Aval du cycle du combustible	nombre	0.0	0.0
BOURGOGNE	26	RA08Etablissements de traitements des déchets ou de maintenance	nombre	1.0	1.0
BOURGOGNE	26	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
BOURGOGNE	26	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	1.0
BOURGOGNE	26	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	28.0	33.0
BRETAGNE	53	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
BRETAGNE	53	RA08Etablissements de recherche (hors CEA)	nombre	15.0	25.0
BRETAGNE	53	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
BRETAGNE	53	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
BRETAGNE	53	RA08Activités médicales	nombre	14.0	12.0
BRETAGNE	53	RA08Etablissements de la défense nationale	nombre	12.0	11.0
BRETAGNE	53	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
BRETAGNE	53	RA08Amont du cycle du combustible	nombre	0.0	0.0
BRETAGNE	53	RA08Aval du cycle du combustible	nombre	0.0	0.0
BRETAGNE	53	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
BRETAGNE	53	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
BRETAGNE	53	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
BRETAGNE	53	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	43.0	50.0
CENTRE	24	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CENTRE	24	RA08Etablissements de recherche (hors CEA)	nombre	12.0	19.0
CENTRE	24	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
CENTRE	24	RA08Centres nucléaires de production d'électricité	nombre	7.0	7.0
CENTRE	24	RA08Activités médicales	nombre	10.0	10.0
CENTRE	24	RA08Etablissements de la défense nationale	nombre	10.0	9.0
CENTRE	24	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CENTRE	24	RA08Amont du cycle du combustible	nombre	0.0	0.0
CENTRE	24	RA08Aval du cycle du combustible	nombre	0.0	0.0
CENTRE	24	RA08Etablissements de traitements des déchets ou de maintenance	nombre	1.0	1.0
CENTRE	24	RA08Sites d'entreposage et stockage	nombre	1.0	2.0
CENTRE	24	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
