Lieu	N° région, département	Série	Unité	1999	2006
ALSACE	42	RI03Surface totale du territoire	 ha	832354.0	832354.0
ALSACE	42	RI03 Surface estimée en zone inondable	 ha	92813.0	92813.0
ALSACE	42	RI03 Population totale du territoire	 nombre	1733732.0	1815488.0
ALSACE	42	RI03 Population estimée en zone inondable	 nombre	210800.0	220500.0
ALSACE	42	RI03 Nombre total de logements du territoire	 nombre	750194.0	820004.0
ALSACE	42	RI03 Nombre de logements estimé en zone inondable	 nombre	88200.0	96000.0
ALSACE	42	RI03 Surface urbanisée continue en zone inondable	 ha	61.0	61.0
ALSACE	42	RI03 Surface urbanisée discontinue en zone inondable	 ha	7336.0	7381.0
ALSACE	42	RI03 Surface des zones d'activités en zone inondable	 ha	3497.0	3654.0
ALSACE	42	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	752.0	752.0
ALSACE	42	RI03 Surface des réseaux de communication en zone inondable	 ha	12.0	12.0
ALSACE	42	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	51466.0	51330.0
ALSACE	42	RI03 Surface des prairies en zone inondable	 ha	9498.0	9473.0
ALSACE	42	RI03 Surface des forêts en zone inondable	 ha	18963.0	18864.0
ALSACE	42	RI03 Surface des autres zones naturelles en zone inondable	 ha	609.0	668.0
ALSACE	42	RI03 Surface des zones humides en zone inondable	 ha	131.0	131.0
ALSACE	42	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	487.0	487.0
ALSACE	42	RI03 Taux de couverture	%	70.94	70.94
AQUITAINE	72	RI03Surface totale du territoire	 ha	4178982.0	4178982.0
AQUITAINE	72	RI03 Surface estimée en zone inondable	 ha	142420.0	142420.0
AQUITAINE	72	RI03 Population totale du territoire	 nombre	2908953.0	3119757.0
AQUITAINE	72	RI03 Population estimée en zone inondable	 nombre	88400.0	93000.0
AQUITAINE	72	RI03 Nombre total de logements du territoire	 nombre	1489039.0	1666768.0
AQUITAINE	72	RI03 Nombre de logements estimé en zone inondable	 nombre	44100.0	49100.0
AQUITAINE	72	RI03 Surface urbanisée continue en zone inondable	 ha	65.0	65.0
AQUITAINE	72	RI03 Surface urbanisée discontinue en zone inondable	 ha	3154.0	3194.0
AQUITAINE	72	RI03 Surface des zones d'activités en zone inondable	 ha	1440.0	1608.0
AQUITAINE	72	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	151.0	151.0
AQUITAINE	72	RI03 Surface des réseaux de communication en zone inondable	 ha	13.0	52.0
AQUITAINE	72	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	71487.0	71179.0
AQUITAINE	72	RI03 Surface des prairies en zone inondable	 ha	30941.0	30915.0
AQUITAINE	72	RI03 Surface des forêts en zone inondable	 ha	21107.0	21169.0
AQUITAINE	72	RI03 Surface des autres zones naturelles en zone inondable	 ha	1500.0	1524.0
AQUITAINE	72	RI03 Surface des zones humides en zone inondable	 ha	3455.0	3450.0
AQUITAINE	72	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	9105.0	9112.0
AQUITAINE	72	RI03 Taux de couverture	%	57.87	57.87
AUVERGNE	83	RI03Surface totale du territoire	 ha	2613139.0	2613139.0
AUVERGNE	83	RI03 Surface estimée en zone inondable	 ha	65409.0	65409.0
AUVERGNE	83	RI03 Population totale du territoire	 nombre	1308656.0	1335944.0
AUVERGNE	83	RI03 Population estimée en zone inondable	 nombre	87500.0	87000.0
AUVERGNE	83	RI03 Nombre total de logements du territoire	 nombre	718996.0	766373.0
AUVERGNE	83	RI03 Nombre de logements estimé en zone inondable	 nombre	47300.0	49400.0
AUVERGNE	83	RI03 Surface urbanisée continue en zone inondable	 ha	170.0	170.0
AUVERGNE	83	RI03 Surface urbanisée discontinue en zone inondable	 ha	3258.0	3287.0
AUVERGNE	83	RI03 Surface des zones d'activités en zone inondable	 ha	1792.0	1838.0
AUVERGNE	83	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	648.0	640.0
AUVERGNE	83	RI03 Surface des réseaux de communication en zone inondable	 ha	27.0	28.0
AUVERGNE	83	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	24744.0	24728.0
AUVERGNE	83	RI03 Surface des prairies en zone inondable	 ha	19580.0	19522.0
AUVERGNE	83	RI03 Surface des forêts en zone inondable	 ha	7260.0	7249.0
AUVERGNE	83	RI03 Surface des autres zones naturelles en zone inondable	 ha	2969.0	2996.0
AUVERGNE	83	RI03 Surface des zones humides en zone inondable	 ha	0.0	0.0
AUVERGNE	83	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	4959.0	4949.0
AUVERGNE	83	RI03 Taux de couverture	%	70.08	70.08
BASSE NORMANDIE	25	RI03Surface totale du territoire	 ha	1775772.0	1775772.0
BASSE NORMANDIE	25	RI03 Surface estimée en zone inondable	 ha	130872.0	130872.0
BASSE NORMANDIE	25	RI03 Population totale du territoire	 nombre	1422436.0	1456781.0
BASSE NORMANDIE	25	RI03 Population estimée en zone inondable	 nombre	106200.0	108200.0
BASSE NORMANDIE	25	RI03 Nombre total de logements du territoire	 nombre	730554.0	792903.0
BASSE NORMANDIE	25	RI03 Nombre de logements estimé en zone inondable	 nombre	62000.0	66600.0
BASSE NORMANDIE	25	RI03 Surface urbanisée continue en zone inondable	 ha	152.0	152.0
BASSE NORMANDIE	25	RI03 Surface urbanisée discontinue en zone inondable	 ha	3538.0	3550.0
BASSE NORMANDIE	25	RI03 Surface des zones d'activités en zone inondable	 ha	1200.0	1220.0
BASSE NORMANDIE	25	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	531.0	531.0
BASSE NORMANDIE	25	RI03 Surface des réseaux de communication en zone inondable	 ha	39.0	39.0
BASSE NORMANDIE	25	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	23655.0	23636.0
BASSE NORMANDIE	25	RI03 Surface des prairies en zone inondable	 ha	92243.0	92153.0
BASSE NORMANDIE	25	RI03 Surface des forêts en zone inondable	 ha	4478.0	4406.0
BASSE NORMANDIE	25	RI03 Surface des autres zones naturelles en zone inondable	 ha	684.0	833.0
BASSE NORMANDIE	25	RI03 Surface des zones humides en zone inondable	 ha	3275.0	3275.0
BASSE NORMANDIE	25	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	1077.0	1077.0
BASSE NORMANDIE	25	RI03 Taux de couverture	%	98.64	98.64
BOURGOGNE	26	RI03Surface totale du territoire	 ha	3170029.0	3170029.0
BOURGOGNE	26	RI03 Surface estimée en zone inondable	 ha	144688.0	144688.0
BOURGOGNE	26	RI03 Population totale du territoire	 nombre	1610407.0	1628836.0
BOURGOGNE	26	RI03 Population estimée en zone inondable	 nombre	127900.0	128300.0
BOURGOGNE	26	RI03 Nombre total de logements du territoire	 nombre	823278.0	868351.0
BOURGOGNE	26	RI03 Nombre de logements estimé en zone inondable	 nombre	63000.0	66600.0
BOURGOGNE	26	RI03 Surface urbanisée continue en zone inondable	 ha	158.0	158.0
BOURGOGNE	26	RI03 Surface urbanisée discontinue en zone inondable	 ha	5935.0	5968.0
BOURGOGNE	26	RI03 Surface des zones d'activités en zone inondable	 ha	2942.0	3081.0
BOURGOGNE	26	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	677.0	682.0
BOURGOGNE	26	RI03 Surface des réseaux de communication en zone inondable	 ha	124.0	128.0
BOURGOGNE	26	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	59629.0	59499.0
BOURGOGNE	26	RI03 Surface des prairies en zone inondable	 ha	53893.0	53820.0
BOURGOGNE	26	RI03 Surface des forêts en zone inondable	 ha	13622.0	13565.0
BOURGOGNE	26	RI03 Surface des autres zones naturelles en zone inondable	 ha	1155.0	1196.0
BOURGOGNE	26	RI03 Surface des zones humides en zone inondable	 ha	33.0	33.0
BOURGOGNE	26	RI03 Surfaces en eau en zone inondable (étangs, lacs, etc.)	 ha	6523.0	6560.0
BOURGOGNE	26	RI03 Taux de couverture	%	73.64	73.64
BRETAGNE	53	RI03Surface totale du territoire	 ha	2744516.0	2744516.0
BRETAGNE	53	RI03 Surface estimée en zone inondable	 ha	47060.0	47060.0
BRETAGNE	53	RI03 Population totale du territoire	 nombre	2907178.0	3094530.0
BRETAGNE	53	RI03 Population estimée en zone inondable	 nombre	46200.0	49000.0
BRETAGNE	53	RI03 Nombre total de logements du territoire	 nombre	1492617.0	1670189.0
BRETAGNE	53	RI03 Nombre de logements estimé en zone inondable	 nombre	24000.0	26000.0
BRETAGNE	53	RI03 Surface urbanisée continue en zone inondable	 ha	100.0	100.0
BRETAGNE	53	RI03 Surface urbanisée discontinue en zone inondable	 ha	1365.0	1366.0
BRETAGNE	53	RI03 Surface des zones d'activités en zone inondable	 ha	686.0	684.0
BRETAGNE	53	RI03 Surface des espaces verts et de loisirs  en zone inondable	 ha	182.0	182.0
BRETAGNE	53	RI03 Surface des réseaux de communication en zone inondable	 ha	54.0	64.0
BRETAGNE	53	RI03 Surface des territoires agricoles (hors prairies) en zone inondable	 ha	20226.0	20214.0
BRETAGNE	53	RI03 Surface des prairies en zone inondable	 ha	18382.0	18337.0
