Lieu	N° région, département	Série	Unité	1999	2010
ALSACE	42	TR05Total	nombre	751123.0	804907.0
ALSACE	42	TR05Travaillant à domicile	nombre	30457.0	29517.0
ALSACE	42	TR05Utilisant la marche à pied principalement pour se rendre à son travail	nombre	51691.0	53643.0
ALSACE	42	TR05Utilisant un seul mode de transport, le deux-roues	nombre	33059.0	43025.0
ALSACE	42	TR05Utilisant un seul mode de transport, la voiture particulière	nombre	525602.0	593486.0
ALSACE	42	TR05Utilisant un seul mode de transport, les transports en commun	nombre	56714.0	85236.0
ALSACE	42	TR05Utilisant  plusieurs modes de transport	nombre	53600.0	ND
ALSACE	42	TR05Travaillant à domicile et habitant une commune rurale	nombre	11834.0	8531.0
ALSACE	42	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune rurale	nombre	7550.0	6861.0
ALSACE	42	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune rurale	nombre	5205.0	4176.0
ALSACE	42	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune rurale	nombre	153664.0	162812.0
ALSACE	42	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune rurale	nombre	9039.0	9069.0
ALSACE	42	TR05Utilisant  plusieurs modes de transport et habitant une commune rurale	nombre	9357.0	ND
ALSACE	42	TR05Travaillant à domicile et habitant une commune urbaine	nombre	18623.0	20986.0
ALSACE	42	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune urbaine	nombre	44141.0	46781.0
ALSACE	42	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune urbaine	nombre	27854.0	38849.0
ALSACE	42	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune urbaine	nombre	371938.0	430674.0
ALSACE	42	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune urbaine	nombre	47675.0	76167.0
ALSACE	42	TR05Utilisant  plusieurs modes de transport et habitant une commune urbaine	nombre	44243.0	ND
ALSACE	42	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et travaillant hors Métropole	nombre	248.0	ND
ALSACE	42	TR05Utilisant  un seul mode de transport, le deux-roues et travaillant hors Métropole	nombre	1018.0	ND
ALSACE	42	TR05Utilisant  un seul mode de transport, la voiture particulière et travaillant hors Métropole	nombre	62385.0	ND
ALSACE	42	TR05Utilisant  un seul mode de transport, les transports en commun et travaillant hors Métropole	nombre	4568.0	ND
ALSACE	42	TR05Utilisant  plusieurs modes de transport et travaillant hors Métropole	nombre	3537.0	ND
AQUITAINE	72	TR05Total	nombre	1115347.0	1322419.0
AQUITAINE	72	TR05Travaillant à domicile	nombre	73500.0	59087.0
AQUITAINE	72	TR05Utilisant la marche à pied principalement pour se rendre à son travail	nombre	67049.0	75959.0
AQUITAINE	72	TR05Utilisant un seul mode de transport, le deux-roues	nombre	41267.0	59345.0
AQUITAINE	72	TR05Utilisant un seul mode de transport, la voiture particulière	nombre	831617.0	1046434.0
AQUITAINE	72	TR05Utilisant un seul mode de transport, les transports en commun	nombre	41961.0	81594.0
AQUITAINE	72	TR05Utilisant  plusieurs modes de transport	nombre	59953.0	ND
AQUITAINE	72	TR05Travaillant à domicile et habitant une commune rurale	nombre	42868.0	25770.0
AQUITAINE	72	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune rurale	nombre	16908.0	17356.0
AQUITAINE	72	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune rurale	nombre	9417.0	9004.0
AQUITAINE	72	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune rurale	nombre	256199.0	308909.0
AQUITAINE	72	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune rurale	nombre	3124.0	5731.0
AQUITAINE	72	TR05Utilisant  plusieurs modes de transport et habitant une commune rurale	nombre	12801.0	ND
AQUITAINE	72	TR05Travaillant à domicile et habitant une commune urbaine	nombre	30632.0	33317.0
AQUITAINE	72	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune urbaine	nombre	50141.0	58603.0
AQUITAINE	72	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune urbaine	nombre	31850.0	50342.0
AQUITAINE	72	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune urbaine	nombre	575418.0	737525.0
AQUITAINE	72	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune urbaine	nombre	38837.0	75862.0
AQUITAINE	72	TR05Utilisant  plusieurs modes de transport et habitant une commune urbaine	nombre	47152.0	ND
AQUITAINE	72	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et travaillant hors Métropole	nombre	103.0	ND
AQUITAINE	72	TR05Utilisant  un seul mode de transport, le deux-roues et travaillant hors Métropole	nombre	56.0	ND
AQUITAINE	72	TR05Utilisant  un seul mode de transport, la voiture particulière et travaillant hors Métropole	nombre	2122.0	ND
AQUITAINE	72	TR05Utilisant  un seul mode de transport, les transports en commun et travaillant hors Métropole	nombre	200.0	ND
AQUITAINE	72	TR05Utilisant  plusieurs modes de transport et travaillant hors Métropole	nombre	873.0	ND
AUVERGNE	83	TR05Total	nombre	509903.0	547210.0
AUVERGNE	83	TR05Travaillant à domicile	nombre	45523.0	31738.0
AUVERGNE	83	TR05Utilisant la marche à pied principalement pour se rendre à son travail	nombre	48647.0	52163.0
AUVERGNE	83	TR05Utilisant un seul mode de transport, le deux-roues	nombre	13194.0	14422.0
AUVERGNE	83	TR05Utilisant un seul mode de transport, la voiture particulière	nombre	359436.0	423446.0
AUVERGNE	83	TR05Utilisant un seul mode de transport, les transports en commun	nombre	17517.0	25440.0
AUVERGNE	83	TR05Utilisant  plusieurs modes de transport	nombre	25586.0	ND
AUVERGNE	83	TR05Travaillant à domicile et habitant une commune rurale	nombre	32133.0	19572.0
AUVERGNE	83	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune rurale	nombre	14367.0	16669.0
AUVERGNE	83	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune rurale	nombre	3423.0	3793.0
AUVERGNE	83	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune rurale	nombre	146186.0	187536.0
AUVERGNE	83	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune rurale	nombre	2401.0	3419.0
AUVERGNE	83	TR05Utilisant  plusieurs modes de transport et habitant une commune rurale	nombre	7191.0	ND
AUVERGNE	83	TR05Travaillant à domicile et habitant une commune urbaine	nombre	13390.0	12167.0
AUVERGNE	83	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune urbaine	nombre	34280.0	35494.0
AUVERGNE	83	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune urbaine	nombre	9771.0	10628.0
AUVERGNE	83	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune urbaine	nombre	213250.0	235911.0
AUVERGNE	83	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune urbaine	nombre	15116.0	22021.0
AUVERGNE	83	TR05Utilisant  plusieurs modes de transport et habitant une commune urbaine	nombre	18395.0	ND
AUVERGNE	83	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et travaillant hors Métropole	nombre	32.0	ND
AUVERGNE	83	TR05Utilisant  un seul mode de transport, le deux-roues et travaillant hors Métropole	nombre	8.0	ND
AUVERGNE	83	TR05Utilisant  un seul mode de transport, la voiture particulière et travaillant hors Métropole	nombre	241.0	ND
AUVERGNE	83	TR05Utilisant  un seul mode de transport, les transports en commun et travaillant hors Métropole	nombre	43.0	ND
AUVERGNE	83	TR05Utilisant  plusieurs modes de transport et travaillant hors Métropole	nombre	127.0	ND
BASSE NORMANDIE	25	TR05Total	nombre	546517.0	594547.0
BASSE NORMANDIE	25	TR05Travaillant à domicile	nombre	49032.0	33300.0
BASSE NORMANDIE	25	TR05Utilisant la marche à pied principalement pour se rendre à son travail	nombre	44626.0	45316.0
BASSE NORMANDIE	25	TR05Utilisant un seul mode de transport, le deux-roues	nombre	19745.0	20450.0
BASSE NORMANDIE	25	TR05Utilisant un seul mode de transport, la voiture particulière	nombre	393334.0	472383.0
BASSE NORMANDIE	25	TR05Utilisant un seul mode de transport, les transports en commun	nombre	16105.0	23099.0
BASSE NORMANDIE	25	TR05Utilisant  plusieurs modes de transport	nombre	23675.0	ND
BASSE NORMANDIE	25	TR05Travaillant à domicile et habitant une commune rurale	nombre	33781.0	20074.0
BASSE NORMANDIE	25	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune rurale	nombre	12807.0	12975.0
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune rurale	nombre	7669.0	7095.0
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune rurale	nombre	196406.0	240396.0
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune rurale	nombre	2909.0	4270.0
BASSE NORMANDIE	25	TR05Utilisant  plusieurs modes de transport et habitant une commune rurale	nombre	7723.0	ND
BASSE NORMANDIE	25	TR05Travaillant à domicile et habitant une commune urbaine	nombre	15251.0	13225.0
BASSE NORMANDIE	25	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune urbaine	nombre	31819.0	32341.0
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune urbaine	nombre	12076.0	13355.0
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune urbaine	nombre	196928.0	231986.0
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune urbaine	nombre	13196.0	18829.0
BASSE NORMANDIE	25	TR05Utilisant  plusieurs modes de transport et habitant une commune urbaine	nombre	15952.0	ND
BASSE NORMANDIE	25	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et travaillant hors Métropole	nombre	48.0	ND
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, le deux-roues et travaillant hors Métropole	nombre	18.0	ND
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, la voiture particulière et travaillant hors Métropole	nombre	427.0	ND
BASSE NORMANDIE	25	TR05Utilisant  un seul mode de transport, les transports en commun et travaillant hors Métropole	nombre	54.0	ND
BASSE NORMANDIE	25	TR05Utilisant  plusieurs modes de transport et travaillant hors Métropole	nombre	176.0	ND
BOURGOGNE	26	TR05Total	nombre	624723.0	666639.0
BOURGOGNE	26	TR05Travaillant à domicile	nombre	44899.0	35275.0
BOURGOGNE	26	TR05Utilisant la marche à pied principalement pour se rendre à son travail	nombre	55377.0	55893.0
BOURGOGNE	26	TR05Utilisant un seul mode de transport, le deux-roues	nombre	22850.0	24848.0
BOURGOGNE	26	TR05Utilisant un seul mode de transport, la voiture particulière	nombre	437815.0	512098.0
BOURGOGNE	26	TR05Utilisant un seul mode de transport, les transports en commun	nombre	24362.0	38525.0
BOURGOGNE	26	TR05Utilisant  plusieurs modes de transport	nombre	39420.0	ND
BOURGOGNE	26	TR05Travaillant à domicile et habitant une commune rurale	nombre	29186.0	21800.0
BOURGOGNE	26	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune rurale	nombre	15108.0	15326.0
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune rurale	nombre	7348.0	8011.0
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune rurale	nombre	200628.0	256335.0
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune rurale	nombre	3858.0	7917.0
BOURGOGNE	26	TR05Utilisant  plusieurs modes de transport et habitant une commune rurale	nombre	12670.0	ND
BOURGOGNE	26	TR05Travaillant à domicile et habitant une commune urbaine	nombre	15713.0	13475.0
BOURGOGNE	26	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune urbaine	nombre	40269.0	40567.0
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune urbaine	nombre	15502.0	16837.0
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune urbaine	nombre	237187.0	255763.0
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune urbaine	nombre	20504.0	30608.0
BOURGOGNE	26	TR05Utilisant  plusieurs modes de transport et habitant une commune urbaine	nombre	26750.0	ND
BOURGOGNE	26	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et travaillant hors Métropole	nombre	48.0	ND
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, le deux-roues et travaillant hors Métropole	nombre	16.0	ND
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, la voiture particulière et travaillant hors Métropole	nombre	535.0	ND
BOURGOGNE	26	TR05Utilisant  un seul mode de transport, les transports en commun et travaillant hors Métropole	nombre	49.0	ND
BOURGOGNE	26	TR05Utilisant  plusieurs modes de transport et travaillant hors Métropole	nombre	199.0	ND
BRETAGNE	53	TR05Total	nombre	1123046.0	1311972.0
BRETAGNE	53	TR05Travaillant à domicile	nombre	91929.0	67469.0
BRETAGNE	53	TR05Utilisant la marche à pied principalement pour se rendre à son travail	nombre	72285.0	80196.0
BRETAGNE	53	TR05Utilisant un seul mode de transport, le deux-roues	nombre	36193.0	44594.0
BRETAGNE	53	TR05Utilisant un seul mode de transport, la voiture particulière	nombre	829818.0	1045700.0
BRETAGNE	53	TR05Utilisant un seul mode de transport, les transports en commun	nombre	38070.0	74013.0
BRETAGNE	53	TR05Utilisant  plusieurs modes de transport	nombre	54751.0	ND
BRETAGNE	53	TR05Travaillant à domicile et habitant une commune rurale	nombre	54914.0	30136.0
BRETAGNE	53	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune rurale	nombre	17587.0	19646.0
BRETAGNE	53	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune rurale	nombre	10269.0	9613.0
BRETAGNE	53	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune rurale	nombre	307461.0	359499.0
BRETAGNE	53	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune rurale	nombre	6099.0	8836.0
BRETAGNE	53	TR05Utilisant  plusieurs modes de transport et habitant une commune rurale	nombre	12104.0	ND
BRETAGNE	53	TR05Travaillant à domicile et habitant une commune urbaine	nombre	37015.0	37332.0
BRETAGNE	53	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et habitant une commune urbaine	nombre	54698.0	60549.0
BRETAGNE	53	TR05Utilisant  un seul mode de transport, le deux-roues et habitant une commune urbaine	nombre	25924.0	34981.0
BRETAGNE	53	TR05Utilisant  un seul mode de transport, la voiture particulière et habitant une commune urbaine	nombre	522357.0	686201.0
BRETAGNE	53	TR05Utilisant  un seul mode de transport, les transports en commun et habitant une commune urbaine	nombre	31971.0	65177.0
BRETAGNE	53	TR05Utilisant  plusieurs modes de transport et habitant une commune urbaine	nombre	42647.0	ND
BRETAGNE	53	TR05Utilisant  la marche à pied principalement pour se rendre à son travail et travaillant hors Métropole	nombre	108.0	ND
